rank	score	word	letters	syllables	zipf	flags
1	5.86	promote	7	2	4.56	-
2	5.55	para	4	2	3.85	-
3	5.55	porch	5	1	3.85	-
4	5.47	polo	4	2	3.77	-
5	5.13	pharma	6	2	3.43	-
6	5.07	pigment	7	2	3.37	-
7	4.97	polio	5	3	3.27	-
8	4.93	puncture	8	2	3.23	-
9	4.85	putt	4	1	3.15	-
10	4.84	parlour	7	2	3.14	-
11	4.84	primate	7	2	3.14	-
12	4.83	posterior	9	3	3.43	-
13	4.83	psychotic	9	3	3.43	-
14	4.82	physicist	9	3	3.42	-
15	4.74	plugged	7	1	3.44	-
16	4.67	panty	5	2	2.97	-
17	4.64	picky	5	2	3.34	-
18	4.64	poof	4	1	2.94	-
19	4.62	porta	5	2	2.92	-
20	4.53	potable	7	3	2.83	-
21	4.49	perverse	8	2	3.19	-
22	4.48	protease	8	3	2.78	-
23	4.47	proximal	8	3	3.17	-
24	4.47	publicist	9	3	3.07	-
25	4.45	piranha	7	3	2.75	-
26	4.44	preferable	10	3	3.44	-
27	4.42	pygmy	5	2	2.72	-
28	4.36	phage	5	1	2.66	-
29	4.34	prodding	8	2	2.64	-
30	4.34	proviso	7	3	2.64	-
31	4.34	purport	7	2	2.64	-
32	4.33	preclude	8	2	3.03	-
33	4.3	predation	9	3	2.9	-
34	4.3	pushy	5	2	3.0	-
35	4.29	purist	6	2	2.59	-
36	4.28	pressing	8	2	4.08	inflected
37	4.27	peony	5	3	2.57	-
38	4.27	perversion	10	3	2.87	-
39	4.27	plodding	8	2	2.57	-
40	4.26	phenolic	8	3	2.56	-
41	4.26	pointed	7	2	4.46	inflected
42	4.25	proceeds	8	2	4.05	inflected
43	4.24	profess	7	2	2.94	-
44	4.21	pupa	4	2	2.51	-
45	4.18	parfait	7	2	2.48	-
46	4.18	porter	6	2	3.98	inflected
47	4.12	pectin	6	2	2.42	-
48	4.09	pursued	7	2	3.89	inflected
49	4.07	perfusion	9	3	2.67	-
50	4.04	penalize	8	3	2.74	-
51	4.03	pharynx	7	2	2.33	-
52	4.03	postmark	8	2	2.33	-
53	4.02	pinkish	7	2	2.72	-
54	4.0	postulate	9	3	2.6	-
55	4.0	propylene	9	3	2.6	-
56	3.99	patrolman	9	3	2.59	-
57	3.97	penile	6	2	2.67	-
58	3.95	pertussis	9	3	2.55	-
59	3.95	pettiness	9	3	2.55	-
60	3.92	plowman	7	2	2.22	-
61	3.92	pressed	7	1	4.12	inflected
62	3.91	paperboy	8	3	2.21	-
63	3.91	posing	6	2	3.71	inflected
64	3.89	pleat	5	1	2.19	-
65	3.87	pilaf	5	2	2.17	-
66	3.86	parolee	7	3	2.16	-
67	3.86	publicize	9	3	2.86	-
68	3.85	penniless	9	3	2.85	-
69	3.83	peavey	6	2	2.13	-
70	3.8	physically	10	3	4.3	inflected
71	3.8	pineal	6	3	2.5	-
72	3.79	piles	5	1	3.59	inflected
73	3.79	protrude	8	2	2.49	-
