word	pos	proper
p	n	0
pa	n	0
paba	n	1
pabir	n	1
pablum	n	0
pabulum	n	0
pac	n	1
paca	n	0
pace	nv	0
pacemaker	n	0
pacer	n	0
pacesetter	n	0
pacha	n	0
pachinko	n	0
pachisi	n	0
pachouli	n	0
pachuco	n	0
pachyderm	n	0
pachyderma	n	0
pachytene	n	0
pacific	an	0
pacificism	n	0
pacificist	n	0
pacifier	n	0
pacifism	n	0
pacifist	n	0
pacifistic	a	0
pacify	v	0
pacing	n	0
pack	nv	0
packable	a	0
package	nv	0
packaged	a	0
packaging	n	0
packed	a	0
packer	n	0
packera	n	1
packet	n	0
packhorse	n	0
packing	n	0
packman	n	0
packrat	n	0
packsack	n	0
packsaddle	n	0
packthread	n	0
pact	n	0
pad	nv	0
padauk	n	0
padda	n	1
padded	a	0
padder	n	0
padding	n	0
paddle	nv	0
paddlefish	n	0
paddler	n	0
paddock	n	0
paddy	n	0
paddymelon	n	0
pademelon	n	0
paderewski	n	1
padlock	nv	0
padouk	n	0
padova	n	1
padre	n	0
padrone	n	0
padua	n	1
paducah	n	1
paean	n	0
paederast	n	0
paederasty	n	0
paediatric	a	0
paedophile	n	0
paella	n	0
paeonia	n	1
paeony	n	0
pagad	n	1
pagan	an	0
paganini	n	1
paganise	v	0
paganism	n	0
paganize	v	0
page	nv	0
pageant	n	0
pageantry	n	0
pageboy	n	0
pagellus	n	1
pager	n	0
paget	n	1
paginate	v	0
pagination	n	0
paging	n	0
pagoda	n	0
pagophila	n	1
pagophilus	n	1
pagrus	n	1
paguridae	n	1
pagurus	n	1
pahang	n	1
pahautea	n	0
pahlavi	n	1
pahlevi	n	1
pahoehoe	n	0
paid	a	0
paige	n	1
paigle	n	0
pail	n	0
pailful	n	0
paillasse	n	0
pain	nv	0
paine	n	1
pained	a	0
painful	a	0
painfully	r	0
painkiller	n	0
painless	a	0
painlessly	r	0
pains	n	0
paint	nv	0
paintable	a	0
paintball	n	0
paintbox	n	0
paintbrush	n	0
painted	a	0
painter	n	0
painterly	a	0
painting	n	0
pair	nv	0
paired	a	0
pairing	n	0
paisa	n	0
paisley	n	0
paiute	n	1
paiwanic	n	1
pajama	n	0
pakchoi	n	0
pakistan	n	1
pakistani	an	1
pal	nv	0
palace	n	0
paladin	n	0
palaemon	n	1
palaeology	n	0
palaestra	n	0
palaic	n	1
palankeen	n	0
palanquin	n	0
palaquium	n	1
palas	n	0
palatable	a	0
palatably	r	0
palatal	an	0
palatalise	v	0
palatalize	v	0
palate	n	0
palatial	a	0
palatinate	n	0
palatine	an	0
palau	n	1
palaver	nv	0
pale	anv	0
paleacrita	n	1
palely	r	0
paleness	n	0
paleocene	n	1
paleolith	n	0
paleology	n	0
paleozoic	an	1
palermo	n	1
palestine	n	1
palestra	n	0
palestrina	n	1
palette	n	0
palfrey	n	0
palgrave	n	1
pali	n	1
palilalia	n	0
palimony	n	0
palimpsest	n	0
palindrome	n	0
paling	n	0
palinurus	n	1
palisade	nv	0
palish	a	0
paliurus	n	1
pall	nv	0
palladian	a	1
palladio	n	1
palladium	n	0
pallas	n	1
pallasite	n	0
pallbearer	n	0
pallet	n	0
pallette	n	0
palliasse	n	0
palliate	v	0
palliation	n	0
palliative	an	0
pallid	a	0
pallidity	n	0
pallidly	r	0
pallidness	n	0
pallidum	n	0
pallium	n	0
pallone	n	0
pallor	n	0
pally	a	0
palm	nv	0
palmaceae	n	1
palmae	n	1
palmales	n	1
palmar	a	0
palmate	a	0
palmately	r	0
palmatifid	a	0
palmature	n	0
palmer	n	1
palmetto	n	0
palmist	n	0
palmister	n	0
palmistry	n	0
palmitin	n	0
palmlike	a	0
palmy	a	0
palmyra	n	0
palometa	n	0
palomino	n	0
palooka	n	0
paloverde	n	0
palpable	a	0
palpably	r	0
palpate	v	0
palpation	n	0
palpatory	a	0
palpebra	n	0
palpebrate	av	0
palpitant	a	0
palpitate	v	0
palsgrave	n	0
palsied	a	0
palsy	nv	0
palter	v	0
paltering	n	0
paltriness	n	0
paltry	a	0
pamelor	n	1
pamlico	n	1
pampas	n	0
pamper	v	0
pamperer	n	0
pampering	n	0
pamphlet	n	0
pan	nv	0
panacea	n	0
panache	n	0
panadol	n	1
panama	n	1
panamanian	an	1
panamica	n	0
panamiga	n	0
panatela	n	0
panax	n	1
pancake	n	0
panchayat	n	0
panchayet	n	0
pancreas	n	0
pancreatic	a	0
pancreatin	n	0
panda	n	0
pandanales	n	1
pandanus	n	0
pandar	n	0
pandeism	n	0
pandemic	an	0
pander	nv	0
panderer	n	0
pandion	n	1
pandora	n	1
pandowdy	n	0
pandurate	a	0
pane	n	0
panegyric	an	0
panegyrist	n	0
panel	nv	0
paneled	a	0
paneling	n	0
panelist	n	0
panelling	n	0
panellist	n	0
panetela	n	0
panetella	n	0
panfish	n	0
pang	n	0
panga	n	0
pangaea	n	1
pangea	n	1
pangloss	n	1
pangolin	n	0
panhandle	nv	0
panhandler	n	0
panic	nv	0
panicked	a	0
panicky	a	0
panicle	n	0
panicled	a	0
paniculate	a	0
panicum	n	1
panini	n	1
panipat	n	1
panjabi	n	1
panjandrum	n	0
pannier	n	0
pannikin	n	0
panocha	n	0
panoche	n	0
panofsky	n	1
panonychus	n	1
panoplied	a	0
panoply	n	0
panoptic	a	0
panoptical	a	0
panopticon	n	0
panorama	n	0
panoramic	a	0
panorpidae	n	1
panpipe	n	0
pansa	n	1
pansexual	n	0
pansy	n	0
pant	nv	0
pantaloon	n	0
pantheism	n	0
pantheist	an	0
pantheon	n	0
